Subject,Type,RMSD.copx.IMF2,RMSD.copy.IMF5,RMSD.copy.IMF6,ApEn.copx.IMF2,ApEn.copy.IMF4,ApEn.copy.IMF5,SampEn.copy.IMF5,SampEn.copy.IMF7,POWER.copy.IMF5,POWER.copy.IMF6,MF.copy.IMF4,MF.copy.IMF5
75,Fall,0.226093831,0.396334099,0.18983031,0.25151477,0.039531026,0.021300378,0.02103931,0.004202988,957.6375183,220.6657792,0.166666667,0.1
78,Fall,0.3729276,0.291113252,0.437738603,0.208951831,0.045374146,0.01889668,0.018609202,0.004514622,516.3874902,1107.545162,0.2,0.1
78,Fall,0.316662341,0.343523928,0.287438986,0.252992646,0.049974144,0.020862666,0.020906038,0.005914681,687.3535322,498.0376278,0.233333333,0.1
78,Fall,0.238468985,0.176052438,0.230518786,0.260512689,0.050506704,0.029879572,0.029526028,0.007677858,188.7480177,331.8102229,0.25,0.15
79,Fall,0.301072554,0.342963015,0.195643092,0.177917741,0.05616379,0.022961286,0.023146746,0.003284407,726.4806394,235.5389938,0.25,0.116666667
79,Fall,0.385614146,0.299556277,0.156375054,0.165635085,0.052145231,0.027322754,0.026068434,0.006059253,546.6995181,150.57939,0.25,0.133333333
79,Fall,0.314265651,0.29337734,0.237621999,0.208223929,0.052115885,0.026326213,0.024068372,0.002028863,514.134084,344.0087585,0.25,0.133333333
81,Fall,0.357069194,0.420410049,0.527641099,0.195113602,0.046803607,0.024793354,0.025121938,0,1074.329649,1862.267983,0.233333333,0.133333333
81,Fall,0.392846452,0.487326227,0.789414256,0.219854478,0.033781255,0.019356205,0.018990699,0,1446.171053,3731.284508,0.15,0.1
81,Fall,0.352395532,0.635319159,0.325358103,0.221343934,0.048813063,0.013223161,0.013391428,0.00441338,2344.170934,676.8236339,0.233333333,0.066666667
82,Fall,0.76644389,0.401871377,0.221608849,0.105493985,0.046066345,0.017980173,0.017180075,0.003303805,950.6164212,290.1938191,0.216666667,0.1
82,Fall,0.451912178,0.496633714,0.300032036,0.158303689,0.033572304,0.01660017,0.016553533,0.003105776,1519.388479,572.8073135,0.15,0.083333333
82,Fall,0.441108809,0.546617868,0.409083359,0.130682745,0.040895152,0.026416775,0.025717171,0,1808.972966,1124.793892,0.2,0.133333333
85,Fall,0.607240339,0.58052033,0.435500204,0.213590925,0.048941106,0.023245566,0.022243276,0.007925985,2003.73062,1165.183825,0.233333333,0.133333333
85,Fall,0.455895859,0.266867403,0.383399344,0.269619077,0.061292632,0.03011667,0.029577371,0.008371588,425.9172878,904.943383,0.283333333,0.15
85,Fall,0.462690873,0.477607552,0.405433239,0.246157435,0.051308615,0.02499977,0.024459404,0,1372.549811,1078.102718,0.25,0.133333333
92,Fall,0.446464714,0.824538782,0.464169752,0.284662804,0.051399156,0.022028518,0.022311199,0.005164661,4093.678842,1303.141313,0.25,0.116666667
92,Fall,0.516140572,0.434061241,0.683111314,0.22272159,0.04728039,0.025522848,0.02056269,0.002543772,1127.0195,2993.794908,0.233333333,0.133333333
92,Fall,0.669085076,0.643860568,0.435512381,0.204606382,0.044237361,0.021267757,0.02052099,0.003642234,2502.572865,1157.900497,0.216666667,0.1
95,Fall,0.334024026,0.272228642,0.304387446,0.239709819,0.038684873,0.021980821,0.02184072,0.005574405,460.3888017,585.77086,0.183333333,0.1
95,Fall,0.386786954,0.355014573,0.311983483,0.24618634,0.063006609,0.028216641,0.02787906,0,759.4779493,580.4120034,0.3,0.15
95,Fall,0.288822126,0.460122187,0.381738867,0.310642862,0.04624763,0.026039001,0.026566904,0.006527381,1290.918917,925.6207141,0.2,0.133333333
100,Fall,0.457358324,0.419723515,0.33508136,0.147520179,0.043585144,0.013410847,0.011796175,0,1071.921145,723.0246728,0.216666667,0.066666667
100,Fall,0.331216051,0.326044442,0.390617904,0.184192274,0.043209035,0.02566705,0.0268515,0.00380099,640.8947615,961.0468326,0.2,0.133333333
100,Fall,0.561028079,0.426482332,0.306153726,0.137885769,0.041724517,0.018371696,0.019012695,0.00514083,1129.98246,580.3546586,0.2,0.1
102,Fall,0.438560924,0.373760855,0.345255831,0.25818272,0.05576002,0.02352687,0.023158743,0,862.2979568,756.3281822,0.266666667,0.116666667
102,Fall,0.329275813,0.289753062,0.268467913,0.305499396,0.047781903,0.023594093,0.018657133,0.002980802,512.5488226,461.633402,0.2,0.133333333
102,Fall,0.415741688,0.375425429,0.404757432,0.217121954,0.039041397,0.019535913,0.020171188,0,894.5165159,1032.57453,0.166666667,0.066666667
105,Fall,0.269249963,0.456765204,0.212250801,0.262900557,0.041374573,0.020796529,0.020579907,0.004317886,1248.672396,280.7017073,0.2,0.116666667
105,Fall,0.350861879,0.540359034,0.427211232,0.204204267,0.046433025,0.020775686,0.01681492,0.005615033,1806.417884,1120.911176,0.216666667,0.1
105,Fall,0.27940561,0.501013757,0.413845012,0.238951075,0.052118203,0.023120531,0.021866694,0.005473584,1495.113428,1050.438894,0.25,0.1
108,Fall,0.593282758,0.290993344,0.318335768,0.165148357,0.044243156,0.020685501,0.02110303,0.007891039,525.0106344,626.743729,0.233333333,0.1
108,Fall,0.488419124,0.451573846,0.22667486,0.171391697,0.051816746,0.027062351,0.022016524,0.006071001,1243.013863,312.3403903,0.25,0.133333333
108,Fall,0.429933398,0.45241032,0.35209489,0.214026135,0.053935699,0.018400328,0.018801753,0,1271.835318,750.7331694,0.25,0.1
110,Fall,0.380888038,0.508688319,0.314549912,0.176638364,0.056416976,0.025789216,0.025999793,0.007365362,1515.377655,636.3081721,0.266666667,0.133333333
110,Fall,0.270433416,0.440078118,0.684724887,0.193647289,0.058396476,0.031707676,0.031724596,0.002700421,1175.502746,2952.451115,0.283333333,0.166666667
110,Fall,0.229516001,0.536837938,0.390436536,0.21886427,0.042787517,0.022315294,0.023300328,0.008366728,1781.43453,939.6140459,0.2,0.116666667
113,Fall,0.62603993,0.426516902,0.398105785,0.162475874,0.045074583,0.021960841,0.021855408,0.004158559,1108.651796,1024.839928,0.216666667,0.116666667
113,Fall,0.369027919,0.635816866,0.360581552,0.201610327,0.031922644,0.012989643,0.009647717,0.003801861,2375.138124,824.4848299,0.166666667,0.083333333
113,Fall,0.378775443,0.477912714,0.842467166,0.200558715,0.046228946,0.022438498,0.021618656,0,1392.019876,3787.701782,0.233333333,0.116666667
121,Fall,0.24310594,0.258094602,0.183547871,0.217953396,0.044070153,0.023862405,0.024877937,0.004774659,404.7694073,210.4682964,0.216666667,0.116666667
121,Fall,0.304239113,0.298243495,0.169644367,0.205353022,0.03487277,0.019312373,0.01955527,0.00442851,539.1547325,169.7590815,0.166666667,0.1
121,Fall,0.294114474,0.379389589,0.184778507,0.175365741,0.039813974,0.018926074,0.016807426,0,899.5457254,193.2664532,0.183333333,0.083333333
132,Fall,0.55135483,0.321057165,0.312470495,0.213092147,0.051782737,0.026252667,0.025789675,0.005350365,626.7992349,616.3440423,0.25,0.133333333
132,Fall,0.370721923,0.511176685,0.266054157,0.265142822,0.038211941,0.028417397,0.028534948,0.008306369,1575.402714,443.117201,0.15,0.15
132,Fall,0.42714651,0.261403994,0.429364713,0.227530978,0.051506015,0.03138537,0.032280018,0.008178943,420.350855,1101.575933,0.25,0.15
134,Fall,0.517779824,0.424132718,0.341225391,0.207975038,0.062284898,0.033432057,0.032315256,0.005592649,1094.100147,685.3771536,0.3,0.166666667
134,Fall,0.232865308,0.358905869,0.292520846,0.307070253,0.05155578,0.033510552,0.029864938,0.005234923,777.7168786,532.1646649,0.25,0.166666667
134,Fall,0.362707876,0.33374484,0.364014053,0.278461892,0.055963066,0.030812267,0.030298702,0.005887815,668.9340479,766.2230121,0.266666667,0.15
149,Fall,0.411752211,0.169265731,0.132239799,0.181901009,0.05027969,0.023562241,0.024047849,0.005847736,174.2001429,108.2489094,0.25,0.116666667
149,Fall,0.487277908,0.296695131,0.377911096,0.160112845,0.043165879,0.022061937,0.021841784,0.004373744,543.2762785,822.2998366,0.216666667,0.116666667
149,Fall,0.266126146,0.267590333,0.326561311,0.263502853,0.045700002,0.021462143,0.021423828,0,436.4541668,675.4322274,0.233333333,0.116666667
150,Fall,0.355321719,0.374354667,0.245417236,0.193553815,0.050210484,0.026394352,0.02587896,0.004691764,850.2128238,381.4294297,0.233333333,0.133333333
150,Fall,0.469023844,0.140309971,0.202953545,0.148853457,0.031193436,0.0209135,0.021043312,0.003413569,122.7959142,251.6285685,0.133333333,0.1
150,Fall,0.259703922,0.448134258,0.312417246,0.212845671,0.043262488,0.015839183,0.015665119,0,1244.931067,576.1672886,0.216666667,0.083333333
157,Fall,0.421277795,0.194349422,0.185151751,0.164488936,0.050500982,0.033682643,0.032911703,0.005535618,231.0324614,209.1565816,0.216666667,0.166666667
157,Fall,0.3160003,0.2884088,0.2020031,0.236402,0.05270434,0.02271509,0.02305834,0.004107604,512.2109,269.6384,0.2666667,0.1166667
