Subject,Type,x.0.1,y.0.1,x.0.4,y.0.4,x.0.5,y.0.5,x.0.3,y.0.3,x.0.2,y.0.2
79,Fall,0.430317675,0.179422651,0.05270026,0.090738761,0.692474158,0.666837281,877.5570083,178.3624201,0.133333333,0.216666667
79,Fall,0.417650299,0.183638513,0.058253556,0.072891693,0.700831597,0.61996766,1030.654632,148.4068206,0.133333333,0.233333333
81,Fall,0.625355673,0.233887424,0.1556868,0.124460603,0.236918074,0.078976083,2421.129523,240.8297032,0.116666667,0.416666667
81,Fall,0.441100104,0.341497302,0.137164525,0.167922079,0.350185484,0.292465819,1156.914799,694.6781827,0.4,0.716666667
81,Fall,0.528383973,0.498792395,0.100967854,0.04341222,0.416661798,0.162840346,1235.272001,369.8475152,0.25,0.233333333
82,Fall,0.648623787,0.555834855,0.093843333,0.053804454,0.326312818,0.139353672,1699.787556,1807.12539,0.3,0.116666667
82,Fall,0.402413519,0.480308833,0.071222709,0.031716153,0.610266497,0.466498837,921.1100664,885.8488765,0.133333333,0.066666667
82,Fall,0.706920714,0.445197833,0.050574796,0.056935127,0.305010625,0.217536545,2489.808366,1013.075149,0.083333333,0.166666667
85,Fall,0.578945493,0.484919729,0.217145295,0.062439423,0.424818532,0.161604903,1701.172145,581.4328029,0.8,0.066666667
85,Fall,0.564365764,0.318340071,0.222231665,0.198082935,0.44180101,0.200465465,1738.261181,616.3809058,0.783333333,0.733333333
85,Fall,0.500397193,0.578328115,0.214048545,0.061427868,0.485167101,0.261016631,1440.82516,593.0024652,0.6,0.166666667
86,Fall,0.313866778,0.33259893,0.060468156,0.030174755,0.595112001,0.491968988,586.0795249,117.6492854,0.15,0.216666667
86,Fall,0.306814124,0.201785738,0.069018643,0.046333199,0.528380258,0.340942866,580.7827392,116.5199683,0.166666667,0.183333333
86,Fall,0.391539399,0.28870149,0.051527552,0.039830188,0.569843866,0.508701102,935.8169878,155.3371431,0.083333333,0.2
92,Fall,0.688188558,0.356026142,0.111527127,0.109955738,0.438699697,0.23834705,1781.4051,680.1616734,0.333333333,0.266666667
92,Fall,0.714184615,0.591846896,0.128043323,0.074893226,0.616522018,0.534171943,3113.854735,1183.28328,0.283333333,0.2
92,Fall,0.620742007,0.403388334,0.110597892,0.064981312,0.581073257,0.385245982,2337.367602,565.1684979,0.183333333,0.2
95,Fall,0.328772381,0.151510049,0.103867263,0.081361634,0.557022926,0.355083061,410.0037185,90.75333491,0.283333333,0.15
95,Fall,0.53515616,0.222160127,0.051878056,0.046491048,0.350236519,0.135770346,452.2303399,83.68169976,0.183333333,0.233333333
95,Fall,0.201177712,0.235706482,0.125026536,0.046121092,0.569205386,0.401240772,195.6928912,285.297916,0.35,0.1
100,Fall,0.551353926,0.186860952,0.075176224,0.1186906,0.583294141,0.487513459,1811.763745,208.2780892,0.133333333,0.416666667
100,Fall,0.398999653,0.332932998,0.079457578,0.041810379,0.663449314,0.621954166,670.6142372,503.9619687,0.233333333,0.05
100,Fall,0.700105271,0.25854003,0.049338318,0.047097358,0.48315327,0.238398512,1651.155466,269.395539,0.116666667,0.066666667
102,Fall,0.493591893,0.236818411,0.128446103,0.121212001,0.583081999,0.438627799,1144.497708,257.297007,0.25,0.166666667
102,Fall,0.391935169,0.161708895,0.11169959,0.209079565,0.646004634,0.569727532,952.6406717,145.7690206,0.133333333,0.5
102,Fall,0.516465306,0.221509305,0.110855909,0.107603785,0.502273675,0.294865474,1629.011856,191.7553412,0.133333333,0.266666667
105,Fall,0.687049446,0.385651986,0.072606651,0.19345229,0.574915423,0.626883587,1709.897825,876.8799585,0.166666667,0.8
105,Fall,0.416484761,0.444599008,0.07643169,0.071425886,0.654825677,0.620207993,1041.391073,881.1052973,0.2,0.083333333
105,Fall,0.649863655,0.220229522,0.046139556,0.131673074,0.513382905,0.53404195,1614.039375,288.4385916,0.15,0.416666667
108,Fall,0.332111686,0.273990036,0.112562779,0.054720088,0.615947852,0.416692954,667.9174558,173.3221928,0.233333333,0.183333333
108,Fall,0.475272113,0.432742734,0.077878841,0.033300998,0.578043051,0.33355494,1417.900581,383.1949085,0.066666667,0.133333333
108,Fall,0.320960656,0.256642191,0.095110193,0.054730796,0.588108325,0.417795883,559.2244117,139.8309982,0.166666667,0.15
110,Fall,0.405040265,0.384324751,0.148063668,0.088911558,0.650153498,0.610849749,948.5895982,571.61656,0.55,0.35
110,Fall,0.542768843,0.309197192,0.065373821,0.125552487,0.772728705,0.701541543,1235.345068,576.076597,0.15,0.35
110,Fall,0.464779652,0.398945747,0.072187257,0.067497999,0.797595153,0.662324584,1304.915446,786.6546053,0.166666667,0.2
113,Fall,0.497905588,0.375812904,0.072900501,0.035971932,0.523516502,0.336270543,1464.3869,871.7442988,0.25,0.066666667
113,Fall,0.491713059,0.498202888,0.046071342,0.031703026,0.581306445,0.531592,1461.613889,954.4734366,0.133333333,0.116666667
113,Fall,0.505805177,0.432337158,0.06081888,0.03116865,0.52817815,0.441784256,1574.098316,1132.221451,0.183333333,0.066666667
121,Fall,0.393073199,0.239659083,0.100213534,0.11946051,0.325421212,0.208138425,531.6387424,286.1636955,0.333333333,0.3
121,Fall,0.320784292,0.226205806,0.066987696,0.086189742,0.603298566,0.603978575,525.5719855,260.7647725,0.166666667,0.166666667
121,Fall,0.777372532,0.236199679,0.029999189,0.09305854,0.594198734,0.609650278,1596.312225,329.8869052,0.083333333,0.15
