Subject,Type,RMSD.copx.IMF3,ApEn.copx.IMF1,ApEn.copx.IMF3,ApEn.copx.IMF4,ApEn.copy.IMF1,ApEn.copy.IMF2,SampEn.copx,SampEn.copx.IMF1,SampEn.copx.IMF3,SampEn.copx.IMF4,SampEn.copy,SampEn.copy.IMF1,SampEn.copy.IMF2,POWER.copx.IMF3,MF.copx.IMF3,MF.copx.IMF4,MF.copy.IMF2
132,Fall,0.156004247,0.628000146,0.144144026,0.086144539,0.627581068,0.424179798,0.70477374,0.540730865,0.129215236,0.087221591,0.556779839,0.571146486,0.310269261,146.1105206,0.583333333,0.4,1.4
132,Fall,0.1973406,0.548322355,0.160820663,0.092728199,0.626810861,0.320226528,0.633071677,0.451330835,0.139555456,0.092476513,0.408963092,0.582901599,0.21743605,234.2006723,0.616666667,0.433333333,1.15
134,Fall,0.120752856,0.203903397,0.170537194,0.064036663,0.628803343,0.250730721,0.509835078,0.165374774,0.150678078,0.065238351,0.231314655,0.596991516,0.117343621,87.63284151,0.683333333,0.3,1.016666667
134,Fall,0.110340702,0.610035461,0.205228741,0.069439716,0.651562954,0.324400458,0.779126558,0.567182638,0.19684648,0.066228581,0.584668107,0.619407058,0.201057454,73.0952116,0.8,0.283333333,1.116666667
134,Fall,0.113512501,0.589584349,0.178951698,0.083960956,0.605303807,0.298468415,0.750406233,0.555692606,0.179390221,0.084246144,0.609666195,0.574024895,0.200854354,77.21153014,0.716666667,0.4,1.066666667
149,Fall,0.069091891,0.618210696,0.188445295,0.0730978,0.616773199,0.364994652,0.656362725,0.570029928,0.169322287,0.072719276,0.5444719,0.557273263,0.26667782,28.63542956,0.766666667,0.35,1.183333333
149,Fall,0.082930804,0.59856132,0.180031039,0.083685298,0.574491568,0.375901074,0.641191241,0.530353719,0.16652767,0.082654453,0.543724591,0.489996303,0.300324042,41.28736071,0.716666667,0.383333333,1.25
149,Fall,0.104676257,0.554002816,0.129515017,0.068429484,0.422562012,0.26316706,0.621818061,0.427435785,0.127151945,0.067189885,0.49451791,0.318378227,0.156541045,65.79666514,0.5,0.333333333,1
150,Fall,0.113335423,0.170881313,0.14508935,0.073440403,0.181392968,0.234020081,0.398578595,0.041443494,0.134360117,0.071180788,0.244052267,0.044263176,0.201991144,77.06920223,0.6,0.35,0.85
150,Fall,0.115937569,0.14032042,0.124673216,0.050486979,0.18976396,0.234836753,0.376331344,0.029761951,0.119312777,0.050491963,0.195868152,0.039655968,0.176894745,80.58947065,0.55,0.233333333,0.833333333
150,Fall,0.088532694,0.247106273,0.158677979,0.05936379,0.136491512,0.27843078,0.525962988,0.133851831,0.15110403,0.057614273,0.354881691,0.048106264,0.173059662,47.04910506,0.683333333,0.283333333,1.033333333
157,Fall,0.09528497,0.5691081,0.1640225,0.07663041,0.2429134,0.217529,0.6272828,0.4365755,0.1457582,0.07296143,0.5728831,0.09072881,0.1046461,54.46182,0.7,0.3666667,0.9333333
