Subject,Type,ApEn.copx.IMF1,ApEn.copx.IMF2,ApEn.copx.IMF3,ApEn.copx.IMF4,ApEn.copx.IMF5,ApEn.copy,ApEn.copy.IMF2,ApEn.copy.IMF4,ApEn.copy.IMF5,ApEn.copy.IMF6,SampEn.copx,SampEn.copx.IMF1,SampEn.copx.IMF2,SampEn.copx.IMF3,SampEn.copx.IMF4,SampEn.copx.IMF5,SampEn.copy,SampEn.copy.IMF1,SampEn.copy.IMF2,SampEn.copy.IMF4,SampEn.copy.IMF5,SampEn.copy.IMF6,MF.copx.IMF1,MF.copx.IMF2,MF.copx.IMF3,MF.copx.IMF4,MF.copx.IMF5,MF.copy.IMF2,MF.copy.IMF4,MF.copy.IMF5
85,Fall,0.322408595,0.230392737,0.111734138,0.0585977,0.021435831,0.198082935,0.216382248,0.085444299,0.027911106,0.009421768,0.44180101,0.177758537,0.200430522,0.106406299,0.058681416,0.019812341,0.200465465,0.030486097,0.152050194,0.078677749,0.028600435,0.009485029,1.25,0.883333333,0.5,0.283333333,0.1,0.8,0.416666667,0.133333333
85,Fall,0.379368903,0.280349075,0.140455066,0.073758412,0.029029726,0.061427868,0.276843981,0.077026402,0.031209818,0.012151055,0.485167101,0.2057808,0.208001503,0.137516078,0.070373838,0.029606403,0.261016631,0.097904439,0.240017007,0.07119494,0.032496394,0.011446537,1.316666667,1.116666667,0.6,0.35,0.15,0.966666667,0.383333333,0.15
86,Fall,0.469252265,0.248998889,0.079821127,0.053392386,0.017932409,0.030174755,0.205157636,0.066633674,0.035853266,0.010947766,0.595112001,0.321953594,0.189128886,0.061625216,0.054107832,0.018277229,0.491968988,0.460001296,0.104380417,0.064851575,0.036688006,0.009503372,1.9,0.766666667,0.4,0.25,0.083333333,0.9,0.333333333,0.183333333
86,Fall,0.394444445,0.226997026,0.09310473,0.049297635,0.023065631,0.046333199,0.293246426,0.067896503,0.030019307,0.010035331,0.528380258,0.218659819,0.17460761,0.09233324,0.049448072,0.022453853,0.340942866,0.422699202,0.195970455,0.068782155,0.029397304,0.009174692,1.7,0.816666667,0.4,0.25,0.116666667,1.15,0.316666667,0.133333333
86,Fall,0.429654456,0.230452954,0.10434935,0.04351992,0.023436136,0.039830188,0.142437467,0.0664718,0.038510021,0.017792502,0.569843866,0.30336046,0.151949947,0.096060648,0.042949078,0.022745492,0.508701102,0.031630819,0.065178394,0.059520783,0.037583804,0.01747449,1.5,0.833333333,0.466666667,0.183333333,0.116666667,0.55,0.333333333,0.183333333
92,Fall,0.300163142,0.238319313,0.134095838,0.052771814,0.038029411,0.109955738,0.169453114,0.058906125,0.026877863,0.012977021,0.438699697,0.193533661,0.127882098,0.126043052,0.053865249,0.030854994,0.23834705,0.068954059,0.075733157,0.061557538,0.026098354,0.012675842,0.883333333,1,0.55,0.233333333,0.216666667,0.85,0.266666667,0.133333333
92,Fall,0.581135786,0.284778698,0.110534041,0.047335804,0.033146629,0.074893226,0.220535089,0.068538849,0.034575135,0.014341061,0.616522018,0.47372481,0.218441918,0.09271752,0.042810401,0.032194246,0.534171943,0.285165711,0.17471642,0.068563916,0.035035827,0.013955211,2.483333333,1.066666667,0.5,0.233333333,0.166666667,0.783333333,0.316666667,0.166666667
92,Fall,0.509399722,0.30294444,0.145414571,0.079454656,0.03722402,0.064981312,0.178760947,0.068480825,0.031305615,0.009926278,0.581073257,0.377410749,0.226685198,0.127422023,0.070437786,0.03723,0.385245982,0.165690021,0.107405627,0.068726011,0.025424198,0.009914318,2.116666667,1.066666667,0.616666667,0.366666667,0.183333333,0.7,0.333333333,0.166666667
95,Fall,0.292963872,0.252932518,0.142472531,0.058848499,0.032023499,0.081361634,0.288053612,0.07783318,0.04161019,0.016768175,0.557022926,0.187314249,0.156118747,0.140431809,0.059452666,0.0317147,0.355083061,0.583558477,0.185101601,0.079750439,0.041907778,0.016093998,1.3,0.983333333,0.566666667,0.283333333,0.166666667,1.1,0.333333333,0.2
95,Fall,0.13804357,0.246653685,0.129033628,0.058603015,0.027064434,0.046491048,0.300610345,0.076510237,0.037922379,0.018665298,0.350236519,0.037084166,0.187839465,0.125220459,0.054196517,0.027336551,0.135770346,0.618325168,0.195587968,0.075709736,0.037870317,0.017518532,0.866666667,0.916666667,0.533333333,0.3,0.133333333,0.933333333,0.366666667,0.183333333
95,Fall,0.314415046,0.259038525,0.188431676,0.069512197,0.04139806,0.046121092,0.381522963,0.077311809,0.041981066,0.02294836,0.569205386,0.195276979,0.162856415,0.185259546,0.069060406,0.041630364,0.401240772,0.587240663,0.28991335,0.073097983,0.040070559,0.021339636,1.116666667,0.966666667,0.733333333,0.316666667,0.2,1.416666667,0.366666667,0.2
100,Fall,0.294798884,0.236028233,0.093723982,0.050010909,0.022507666,0.1186906,0.174400682,0.074983815,0.03063677,0.012416571,0.583294141,0.186647698,0.207015208,0.092373184,0.051966311,0.021729077,0.487513459,0.589050779,0.087004157,0.075240402,0.031405843,0.01214,1.316666667,0.883333333,0.433333333,0.25,0.116666667,0.716666667,0.35,0.15
100,Fall,0.588284127,0.247349219,0.134090813,0.070215953,0.038433778,0.041810379,0.184464416,0.079142667,0.033277039,0.017230874,0.663449314,0.539038897,0.160757512,0.125720034,0.070169123,0.039225716,0.621954166,0.569868079,0.117781456,0.076830229,0.033583765,0.017822824,2.416666667,0.85,0.583333333,0.333333333,0.183333333,0.616666667,0.383333333,0.166666667
100,Fall,0.208075507,0.256586664,0.094319811,0.050150072,0.028624941,0.047097358,0.280496058,0.07171997,0.024954362,0.012093252,0.48315327,0.090064185,0.227702749,0.086103701,0.051408818,0.028326817,0.238398512,0.606154696,0.1596904,0.069982825,0.024804372,0.007165323,1.433333333,0.933333333,0.4,0.233333333,0.133333333,0.916666667,0.333333333,0.116666667
102,Fall,0.481619808,0.276540605,0.113469181,0.05913171,0.034521619,0.121212001,0.290753642,0.083020347,0.033781249,0.011999447,0.583081999,0.379386482,0.228159714,0.113797202,0.05781274,0.035229621,0.438627799,0.137745787,0.227255148,0.070777405,0.032217067,0.009644094,1.65,1,0.466666667,0.266666667,0.166666667,0.983333333,0.383333333,0.15
102,Fall,0.593519754,0.417733636,0.113554229,0.05643398,0.025053431,0.209079565,0.316203473,0.087749835,0.045561181,0.021538944,0.646004634,0.521512442,0.36759148,0.107774088,0.057649192,0.022199074,0.569727532,0.239513548,0.221459139,0.087074669,0.038875616,0.021659895,2.616666667,1.466666667,0.433333333,0.25,0.133333333,1.133333333,0.416666667,0.233333333
102,Fall,0.389232854,0.297013181,0.141949404,0.055569101,0.029620572,0.107603785,0.288808129,0.082541714,0.040506248,0.010283872,0.502273675,0.250994043,0.236108695,0.142969489,0.055002452,0.029479167,0.294865474,0.422943187,0.216425313,0.07753889,0.040184508,0.009353415,1.416666667,1.05,0.566666667,0.266666667,0.15,0.966666667,0.383333333,0.2
105,Fall,0.457278217,0.234517124,0.104353697,0.057489758,0.026341043,0.19345229,0.193352695,0.047047004,0.030839684,0.016481998,0.574915423,0.277404399,0.115395792,0.090577329,0.050535839,0.024662754,0.626883587,0.025373292,0.159863551,0.048029852,0.022906593,0.016558315,1.883333333,1.033333333,0.516666667,0.283333333,0.133333333,0.766666667,0.216666667,0.166666667
105,Fall,0.614887991,0.248128658,0.144919455,0.059018256,0.039289023,0.071425886,0.186221234,0.062970281,0.034039849,0.011929381,0.654825677,0.52150945,0.167819931,0.13499526,0.050820578,0.03939902,0.620207993,0.159596086,0.107156131,0.051283328,0.031560288,0.010723926,3.4,0.866666667,0.6,0.266666667,0.183333333,0.766666667,0.316666667,0.183333333
105,Fall,0.357775142,0.252855612,0.11705822,0.059230416,0.029445401,0.131673074,0.207659049,0.066004312,0.026316855,0.015673817,0.513382905,0.252983086,0.190032304,0.104873998,0.055050481,0.030133609,0.53404195,0.198909084,0.117322397,0.064888625,0.024031438,0.014491809,1.233333333,0.866666667,0.5,0.3,0.15,0.866666667,0.316666667,0.133333333
108,Fall,0.544605587,0.249016606,0.125525495,0.060921959,0.030139094,0.054720088,0.323051991,0.0798309,0.042390824,0.023240207,0.615947852,0.439467635,0.21215323,0.119052028,0.056990962,0.029522887,0.416692954,0.453983549,0.223445803,0.076519351,0.03761009,0.020532896,2.166666667,0.85,0.516666667,0.3,0.166666667,1.166666667,0.35,0.216666667
108,Fall,0.571380624,0.291109134,0.134878653,0.051109787,0.027235939,0.033300998,0.418658233,0.073553567,0.041824987,0.019892342,0.578043051,0.496537459,0.244377813,0.13159833,0.045472355,0.026960757,0.33355494,0.48660084,0.337864063,0.071098461,0.041813047,0.02052563,2.15,0.983333333,0.566666667,0.25,0.15,1.35,0.35,0.2
108,Fall,0.534668339,0.339524497,0.146757657,0.063411589,0.023410585,0.054730796,0.284220211,0.07672577,0.038171104,0.01168498,0.588108325,0.419725407,0.290970246,0.143303934,0.064370531,0.023553314,0.417795883,0.566844671,0.190537521,0.067198311,0.039590255,0.011638267,2,1.133333333,0.583333333,0.3,0.116666667,0.966666667,0.4,0.183333333
110,Fall,0.5248614,0.175128864,0.125262295,0.064813069,0.03389326,0.088911558,0.247697314,0.074652081,0.043981695,0.021839856,0.650153498,0.452278338,0.091903653,0.121557173,0.063479685,0.034260187,0.610849749,0.27098746,0.151940175,0.076633304,0.043876695,0.021615586,1.266666667,0.816666667,0.533333333,0.3,0.15,0.916666667,0.35,0.216666667
110,Fall,0.628510465,0.332005197,0.150060037,0.078453564,0.036891614,0.125552487,0.288363627,0.066755046,0.02988227,0.019593168,0.772728705,0.599328026,0.255283642,0.141040161,0.069592296,0.035183778,0.701541543,0.549459242,0.172363871,0.067455904,0.029882256,0.019991826,5.466666667,1.033333333,0.616666667,0.383333333,0.183333333,1.066666667,0.3,0.133333333
110,Fall,0.639522916,0.532680126,0.174682901,0.074285058,0.037879711,0.067497999,0.256454406,0.062061919,0.030404384,0.015067389,0.797595153,0.606746652,0.476979241,0.160994783,0.072909145,0.037224859,0.662324584,0.451595507,0.170176569,0.061180654,0.030636276,0.014296345,6.383333333,1.916666667,0.666666667,0.333333333,0.183333333,0.883333333,0.3,0.15
113,Fall,0.221205767,0.113323573,0.083330991,0.054025813,0.023166632,0.035971932,0.272781596,0.058772414,0.048170945,0.016421228,0.523516502,0.118251599,0.051083104,0.062819645,0.051523069,0.023292779,0.336270543,0.57163116,0.202452004,0.059608494,0.046260686,0.016604586,1.05,0.5,0.4,0.283333333,0.116666667,0.95,0.266666667,0.25
113,Fall,0.409098264,0.339284571,0.093686734,0.051559441,0.028776527,0.031703026,0.226348942,0.041108155,0.029494306,0.007937455,0.581306445,0.311128218,0.252052886,0.069831804,0.052228007,0.025581962,0.531592,0.594521921,0.135207135,0.04111404,0.026986246,0.007282947,1.8,1.116666667,0.416666667,0.233333333,0.166666667,0.866666667,0.2,0.15
113,Fall,0.305807572,0.16727075,0.093083059,0.037385551,0.017985413,0.03116865,0.391301691,0.070245427,0.033400454,0.012715063,0.52817815,0.17061284,0.090705892,0.07903959,0.038411334,0.017931474,0.441784256,0.582436147,0.297566362,0.070925575,0.031022974,0.012030014,1.716666667,0.716666667,0.416666667,0.183333333,0.083333333,1.266666667,0.35,0.166666667
121,Fall,0.159720814,0.193732977,0.106501132,0.045388778,0.024470007,0.11946051,0.238539153,0.043576787,0.029035999,0.01289098,0.325421212,0.033055381,0.12405718,0.106990123,0.04610276,0.024326894,0.208138425,0.043082754,0.147262733,0.041233498,0.028942316,0.012292312,1.05,0.8,0.45,0.2,0.1,0.916666667,0.2,0.133333333
121,Fall,0.487236448,0.288102307,0.12226092,0.062885494,0.033675965,0.086189742,0.228297393,0.046270653,0.034264639,0.014497842,0.603298566,0.39751912,0.205326115,0.114429414,0.061443763,0.033725572,0.603978575,0.032765245,0.12651,0.043498974,0.034254776,0.014444267,1.616666667,1.016666667,0.5,0.3,0.166666667,0.883333333,0.216666667,0.166666667
121,Fall,0.499121718,0.236143992,0.092508751,0.038443968,0.017044356,0.09305854,0.266139173,0.07148348,0.029436019,0.015979873,0.594198734,0.395999389,0.183706369,0.093183814,0.033225225,0.015647048,0.609650278,0.013945061,0.177890847,0.070683877,0.028622355,0.014668149,2.066666667,0.866666667,0.4,0.2,0.083333333,0.983333333,0.333333333,0.15
122,Fall,0.373827937,0.110528835,0.061977204,0.035379321,0.012602214,0.075042524,0.180231564,0.044346625,0.02060084,0.011775688,0.434270407,0.204627552,0.085392519,0.053863494,0.035536336,0.006154574,0.398065472,0.065657696,0.118868775,0.043832711,0.020619005,0.011993165,1.4,0.45,0.3,0.166666667,0.066666667,0.733333333,0.2,0.1
132,Fall,0.612528892,0.390193887,0.240778659,0.08568472,0.045487944,0.09440346,0.304428809,0.054114158,0.031785683,0.022826962,0.675545186,0.530956699,0.300574517,0.200218691,0.086287536,0.046146378,0.480101623,0.173583099,0.208718151,0.049182628,0.033055059,0.023107742,3.866666667,1.366666667,0.933333333,0.4,0.216666667,1.033333333,0.216666667,0.15
